,movieId,apiid,name,role,gender
118,6,949,Hank Azaria,Alan Marciano,2
119,6,949,Wes Studi,Detective Casals,2
120,6,949,Dennis Haysbert,Donald Breedan,2
121,6,949,Danny Trejo,Trejo,2
122,6,949,Henry Rollins,Hugh Benny,2
123,6,949,William Fichtner,Roger Van Zant,2
124,6,949,Kevin Gage,Waingro,2
125,6,949,Susan Traylor,Elaine Cheritto,1
126,6,949,Jerry Trimble,Schwartz,2
127,6,949,Ricky Harris,Albert Torena,2
128,6,949,Jeremy Piven,Dr. Bob,2
129,6,949,Xander Berkeley,Ralph,2
130,6,949,Begonya Plaza,Anna Trejo,1
131,6,949,Rick Avery,Armoured Guard,2
132,6,949,Hazelle Goodman,Hooker's Mother,0
133,6,949,Ray Buktenica,Timmons,2
134,6,949,Max Daniels,Shooter at Drive-in,2
135,6,949,Vince Deadrick Jr.,Driver at Drive-in,2
136,6,949,Steven Ford,Officer Bruce,2
137,6,949,Farrah Forke,Claudia,1
138,6,949,Patricia Healy,Bosko's Date,1
139,6,949,Paul Herman,Sergeant Heinz,2
140,6,949,Cindy Katz,Rachel,1
141,6,949,Brian Libby,Captain Jackson,0
142,6,949,Dan Martin,Harry Dieter,2
143,6,949,Mario Roberts,Bank Guard,0
144,6,949,"Thomas Rosales, Jr.",Armoured Truck Driver,2
145,6,949,Yvonne Zima,Hostage Girl,1
146,6,949,Mick Gould,1st SIS Detective in the hallway (uncredited),0
147,6,949,Bud Cort,"Solenko, Restaurant Manager (uncredited)",2
148,6,949,Viviane Vives,Castilian Woman (uncredited),0
149,6,949,Kim Staunton,Lillian,1
150,6,949,Martin Ferrero,Construction Clerk,2
151,6,949,Brad Baldridge,Children's Hospital Doctor,0
152,6,949,Andrew Camuccio,Dominick,0
153,6,949,Kenny Endoso,Bartender,0
154,6,949,Kimberly Flynn,Casals' Date,1
155,6,949,Niki Harris,Marcia Drucker,1
156,6,949,Bill McIntosh,Armoured Guard,0
157,6,949,Rick Marzan,Basketball Player,0
158,6,949,Terry Miller,Children's Hospital Nurse,0
159,6,949,Daniel O'Haco,Detective,0
160,6,949,Kai Soremekun,Prostitute,1
161,6,949,Peter Blackwell,Bar Couple (uncredited),0
162,6,949,Trevor Coppola,Restaurant Patron (uncredited),0
163,6,949,Mary Kircher,Police Woman (uncredited),1
164,6,949,Darin Mangan,Grocery Store Employee (uncredited),0
165,6,949,Robert Miranda,Cusamano (uncredited),2
166,6,949,Manny Perry,Grocery Store Cop (uncredited),2
167,6,949,Iva Franks Singer,Waitress (uncredited),1
168,6,949,Tim Werner,Bank Guard (uncredited),0
169,6,949,Philip Ettington,Ellis (uncredited),2
170,7,11860,Harrison Ford,Linus Larrabee,2
171,7,11860,Julia Ormond,Sabrina Fairchild,1
172,7,11860,Greg Kinnear,David Larrabee,2
173,7,11860,Angie Dickinson,Mrs. Ingrid Tyson,1
174,7,11860,Nancy Marchand,Maude Larrabee,1
175,7,11860,John Wood,Fairchild,2
176,7,11860,Richard Crenna,Patrick Tyson,2
177,7,11860,Lauren Holly,Elizabeth Tyson,1
178,7,11860,Dana Ivey,Mack,1
179,7,11860,Fanny Ardant,Irene,1
180,7,11860,Patrick Bruel,Louis,0
181,7,11860,Paul Giamatti,Scott,2
182,7,11860,Miriam Colón,Rosa,1
183,7,11860,Elizabeth Franz,Joanna,1
184,7,11860,Valérie Lemercier,Martine,1
185,7,11860,Becky Ann Baker,Linda,1
186,7,11860,John C. Vennema,Ron,2
187,7,11860,Margo Martindale,Nurse,1
188,7,11860,J. Smith-Cameron,Carol,1
189,7,11860,Christine Luneau-Lipton,Ticket Taker,1
190,7,11860,Michael Dees,Singer at Larrabee Party,2
191,7,11860,Denis Holmes,Butler,0
192,7,11860,Jo-Jo Lowe,Red Head,1
193,7,11860,Ira Wheeler,Bartender,0
194,7,11860,Philippa Cooper,Kelly,1
195,7,11860,Ayako Kawahara,India,1
196,7,11860,François Genty,Make-Up Assistant,0
197,7,11860,Guillaume Gallienne,Assistant,2
198,7,11860,Inés Sastre,Model,1
199,7,11860,Phina Oruche,Model,1
200,7,11860,Andrea Behalikova,Model,1
201,7,11860,Jennifer Herrera,Model,1
202,7,11860,Kristina Kumlin,Model,1
203,7,11860,Eva Linderholm,Model,1
204,7,11860,Carmen Chaplin,Paris Friend,1
205,7,11860,Micheline Van de Velde,Paris Friend,1
206,7,11860,Joanna Rhodes,Paris Friend,1
207,7,11860,Alan Boone,Paris Friend,2
208,7,11860,Patrick Forster-Delmas,Paris Friend,0
209,7,11860,Kentaro Matsuo,Paris Friend,2
210,7,11860,Peter McKernan,Helicopter Pilot,0
211,7,11860,Ed Connelly,Gulf Stream Pilot,2
212,7,11860,Ronald L. Schwary,Sheik,2
213,7,11860,Alvin Lum,Tyson Butler,2
214,7,11860,Siching Song,Mother in Hospital,1
215,7,11860,Phil Nee,Father in Hospital,0
216,7,11860,Randy Becker,Trainer,2
217,7,11860,Susan Browning,Secretary,1
218,7,11860,Anthony Mondal,Moroccan Waiter,2
219,7,11860,Peter Parks,Senator,2
220,7,11860,Woodrow Asai,Japanese Businessman (uncredited),0
221,7,11860,Eric Bruno Borgman,Airport Employee (uncredited),0
222,7,11860,Michael Cline,Head Butler (uncredited),0
223,7,11860,Christopher Del Gaudio,Businessman in Window (uncredited),2
224,7,11860,Philippe Hartmann,Wedding Guest (uncredited),2
225,7,11860,Jerry Quinn,Pizza Patron (uncredited),2
226,7,11860,Dori Rosenthal,Ballroom Dancer (uncredited),1
227,8,45325,Jonathan Taylor Thomas,Tom Sawyer,2
228,8,45325,Brad Renfro,Huck Finn,2
229,8,45325,Rachael Leigh Cook,Becky Thatcher,1
230,8,45325,Michael McShane,Muff Potter,2
231,8,45325,Amy Wright,Aunt Polly,1
232,8,45325,Eric Schweig,Injun Joe,2
233,8,45325,Tamara Mello,Townsperson,1
234,9,9091,Jean-Claude Van Damme,Darren Francis Thomas McCord,2
235,9,9091,Powers Boothe,Joshua Foss,2
236,9,9091,Dorian Harewood,Matthew Hallmark,2
237,9,9091,Raymond J. Barry,Vizepräsident Daniel Bender,2
238,9,9091,Ross Malinger,Tyler,2
239,9,9091,Whittni Wright,Emily McCord,1
240,10,710,Pierce Brosnan,James Bond,2
241,10,710,Sean Bean,Alec Trevelyan,2
242,10,710,Izabella Scorupco,Natalya Fyodorovna Simonova,1
243,10,710,Famke Janssen,Xenia Onatopp,1
244,10,710,Joe Don Baker,Jack Wade,2
245,10,710,Judi Dench,M,1
246,10,710,Gottfried John,General Arkady Grigorovich Ourumov,2
247,10,710,Robbie Coltrane,Valentin Dmitrovich Zukovsky,2
248,10,710,Alan Cumming,Boris Grishenko,2
249,10,710,Tchéky Karyo,Defense Minister Dmitri Mishkin,2
250,10,710,Desmond Llewelyn,Q,2
251,10,710,Samantha Bond,Miss Moneypenny,1
252,10,710,Michael Kitchen,Bill Tanner,2
253,10,710,Serena Gordon,Caroline,1
254,10,710,Simon Kunz,Severnaya Duty Officer,2
255,10,710,Billy J. Mitchell,Admiral Chuck Farrell,2
256,10,710,Constantine Gregory,Computer Store Manager,2
257,10,710,Minnie Driver,Irina,1
258,10,710,Michelle Arthur,Anna,1
259,10,710,Ravil Isyanov,Mig Pilot,2
260,10,710,Trevor Byfield,Train Driver,2
261,11,9087,Michael Douglas,Andrew Shepherd,2
262,11,9087,Annette Bening,Sydney Ellen Wade,1
263,11,9087,Michael J. Fox,Lewis Rothschild,2
264,11,9087,Martin Sheen,A.J. MacInerney,2
265,11,9087,Anna Deavere Smith,Robin McCall,1
266,11,9087,Shawna Waldron,Lucy Shepherd,1
267,11,9087,Samantha Mathis,Janie Basdin,1
268,11,9087,David Paymer,Leon Kodak,2
269,11,9087,Richard Dreyfuss,Senator Bob Rumson,2
270,11,9087,Nina Siemaszko,Beth Wade,1
271,11,9087,Wendie Malick,Susan Sloan,1
272,11,9087,Beau Billingslea,Agent Cooper,2
273,11,9087,Gail Strickland,Esther MacInerney,1
274,11,9087,Joshua Malina,David,2
275,11,9087,Clement von Franckenstein,President René Jean D'Astier,2
276,11,9087,John Mahoney,Leo Solomon,2
277,11,9087,John Mahon,Chairman of the Joint Chiefs,2
278,11,9087,Gabriel Jarret,Jeff,0
279,12,12110,Leslie Nielsen,Count Dracula,2
280,12,12110,Mel Brooks,Prof. Abraham Van Helsing,2
281,12,12110,Amy Yasbeck,Mina Seward,1
282,12,12110,Peter MacNicol,Thomas Renfield,2
283,12,12110,Lysette Anthony,Lucy Westenra,1
284,12,12110,Harvey Korman,Dr. Jack Seward,2
285,12,12110,Steven Weber,Jonathan Harker,2
286,12,12110,Mark Blankfield,Martin,2
287,12,12110,Megan Cavanagh,Essie,1
288,12,12110,Gregg Binkley,Woodbridge,2
289,12,12110,Anne Bancroft,Madame Ouspenskaya,1
290,12,12110,Clive Revill,Sykes,2
291,12,12110,Chuck McCann,Innkeeper,2
292,12,12110,Avery Schreiber,Peasant on Coach,2
293,12,12110,Cherie Franklin,Peasant on Coach,0
294,12,12110,Ezio Greggio,Coach Driver,2
295,12,12110,Leslie Sachs,Usherette,1
296,12,12110,Rudy De Luca,Guard,0
297,12,12110,Darla Haun,Brunette Vampire,1
298,12,12110,Karen Roe,Blonde Vampire,0
299,12,12110,Charlie Callas,Man in Straitjacket,2
300,12,12110,Maud Winchester,Ballroom Guest,1
301,12,12110,Kathleen Kane,Villager,0
302,13,21032,Kevin Bacon,Balto (voice),2
303,13,21032,Bob Hoskins,Boris the Goose (voice),2
304,13,21032,Bridget Fonda,Jenna (voice),1
305,13,21032,Jim Cummings,Steele the Sled Dog (voice),2
306,13,21032,Phil Collins,Muk and Luk (voice),2
307,13,21032,Juliette Brewer,Young Rosy (voice),0
308,13,21032,Jack Angel,Nikki (voice),2
309,13,21032,Danny Mann,Kaltag (voice),2
310,13,21032,Robbie Rist,Star (voice),2
311,13,21032,Sandra Dickinson,Dixie / Sylvie (voice),1
312,13,21032,Frank Welker,Grizzly Bear (voice),2
313,13,21032,Miriam Margolyes,Grandma Rosy,1
314,13,21032,Lola Bates-Campbell,Rosie's granddaughter,0
315,14,10858,Anthony Hopkins,Richard Nixon,2
316,14,10858,Joan Allen,Pat Nixon,1
317,14,10858,Powers Boothe,Alexander Haig,2
318,14,10858,Ed Harris,E. Howard Hunt,2
319,14,10858,Bob Hoskins,J. Edgar Hoover,2
320,14,10858,E.G. Marshall,John Mitchell,2
321,14,10858,David Paymer,Ron Ziegler,2
322,14,10858,David Hyde Pierce,John Dean,2
323,14,10858,Paul Sorvino,Henry Kissinger,2
324,14,10858,Mary Steenburgen,Hannah Nixon,1
325,14,10858,J.T. Walsh,John Ehrlichman,2
326,14,10858,James Woods,H.R. Haldeman,2
327,14,10858,Brian Bedford,Clyde Tolson,2
328,14,10858,Kevin Dunn,Charles Colson,0
329,14,10858,Fyvush Finkel,Murray Chotiner,2
330,14,10858,Annabeth Gish,Julie Nixon Eisenhower,1
331,14,10858,Larry Hagman,"""Jack Jones""",2
332,14,10858,Madeline Kahn,Martha Mitchell,1
333,14,10858,Dan Hedaya,Trini Cardoza,2
334,14,10858,Bridgette Wilson,Sandy,0
335,14,10858,Tom Bower,Frank Nixon,2
336,14,10858,Tony Goldwyn,Harold Nixon,2
337,14,10858,Edward Herrmann,Nelson Rockefeller,2
338,14,10858,Tony Lo Bianco,Johnny Roselli,2
339,14,10858,Saul Rubinek,Herb Klein,2
340,14,10858,Robert Beltran,Frank Sturgis,2
341,14,10858,John Cunningham,Bob,2
342,14,10858,John Diehl,Gordon Liddy,2
343,14,10858,John C. McGinley,Earl in Training Film,2
344,14,10858,Michael Chiklis,TV Director,2
345,14,10858,Ric Young,Mao Tse-Tung,2
346,14,10858,Boris Sichkin,Leonid Brezhnev,2
347,14,10858,Sam Waterston,Richard Helms,2
348,14,10858,Marley Shelton,Tricia Nixon Cox,1
349,14,10858,Joanna Going,Young Student,1
350,15,1408,Geena Davis,Morgan Adams,1
351,15,1408,Matthew Modine,William Shaw,2
352,15,1408,Frank Langella,Dawg,2
353,15,1408,Maury Chaykin,John Reed,2
354,15,1408,Patrick Malahide,Ainstee,2
355,15,1408,Stan Shaw,Glasspoole,2
356,15,1408,Rex Linn,Mr. Blair,2
357,15,1408,Paul Dillon,Snelgrave,2
358,15,1408,Christopher Masterson,Bowen,2
359,15,1408,Jimmie F. Skaggs,Scully,0
360,15,1408,Harris Yulin,Black Harry,2
361,15,1408,Carl Chase,Bishop,2
362,15,1408,Peter Geeves,Fiddler Pirate,0
363,15,1408,Angus Wright,Captain Trotter,0
364,15,1408,Ken Bones,Toussant,2
365,15,1408,Mary Peach,Lady,1
366,15,1408,Thomas Lockyer,Lieutenant,2
367,15,1408,Roger Booth,Auctioneer,0
368,15,1408,George Murcell,Mordachai Fingers,2
369,15,1408,Simon Atherton,Bartender,0
370,15,1408,Dickey Beer,Executioner,2
371,15,1408,Christopher Halliday,Hastings,0
372,15,1408,Chris Johnston,Helmsman,0
373,15,1408,Richard Leaf,Snake the Lookout,2
374,15,1408,Tam White,Fleming,0
375,15,1408,Rupert Vansittart,Captain Perkins,2
376,15,1408,Nick Bartlett,Dawg's Pirate,2
377,15,1408,David Bailie,Dawg's Pirate,2
378,15,1408,Kwame Kwei-Armah,Dawg's Pirate,0
379,15,1408,Ramon Tikaram,Dawg's Pirate,2
380,15,1408,Christopher Adamson,Dawg's Pirate,2
381,16,524,Robert De Niro,Sam 'Ace' Rothstein,2
382,16,524,Sharon Stone,Ginger McKenna,1
383,16,524,Joe Pesci,Nicky Santoro,2
384,16,524,James Woods,Lester Diamond,2
385,16,524,Don Rickles,Billy Sherbert,2
386,16,524,Alan King,Andy Stone,2
387,16,524,Kevin Pollak,Phillip Green,2
388,16,524,Pasquale Cajano,Remo Gaggi,0
389,16,524,L.Q. Jones,Pat Webb,2
390,16,524,Dick Smothers,Sénateur,2
391,16,524,Frank Vincent,Frank Marino,2
392,16,524,Oscar Goodman,Oscar Goodman,2
393,16,524,Richard Riehle,Charlie Clark,2
394,16,524,Catherine Scorsese,Mme Piscano,1
395,16,524,Vinny Vella,Artie Piscano,2
396,16,524,Nobu Matsuhisa,Ichikawa,0
397,16,524,Erika von Tagen,Amy,1
398,16,524,Nick Mazzola,Black Jack-Groupier,0
399,16,524,David Rose,David,0
400,16,524,John Bloom,Don Ward,2
401,16,524,Joseph Rigano,Vincent Borelli,2
402,16,524,Philip Suriano,Dominick Santoro,2
403,16,524,Melissa Prophet,Jennifer Santoro,0
404,16,524,Bill Allison,John Nance,0
405,16,524,Joe La Due,Signaller,0
406,16,524,Joseph P. Reidy,Winner,2
407,16,524,Craig Vincent,Cowboy,0
408,16,524,Carl Ciarfalio,Tony Dogs,2
409,16,524,Gene Ruffini,Vinny Forlano,2
410,16,524,Dominick Grieco,Americo Capelli,0
411,16,524,Clem Caserta,Sal Fusco,0
412,16,524,Daniel P. Conte,Doctor Dan,2
413,16,524,Joey DePinto,Stabbed Gambler,0
414,16,524,Jack Orend,Baker,2
415,16,524,Paul Herman,Gambler in Phone Booth,2
416,16,524,Jed Mills,Jack Hardy,0
417,16,524,Claudia Haro,Trudy,0
418,16,524,Ffolliott Le Coque,Anna Scott,0
419,16,524,John Manca,Wiseguy Eddie,0
420,16,524,Ronald Maccone,Wiseguy Jerry,2
421,16,524,Joseph Bono,Moosh,0
422,16,524,Frank Adonis,Rocky,2
423,16,524,Anthony Russell,Bookie,2
424,16,524,Stuart Nisbet,LA Banker,2
425,16,524,Alfred Nittoli,Chastised Gambler,2
426,17,4584,Kate Winslet,Marianne Dashwood,1
427,17,4584,Emma Thompson,Elinor Dashwood,1
428,17,4584,Hugh Grant,Edward Ferrars,2
429,17,4584,Tom Wilkinson,Mr. Dashwood,2
430,17,4584,Alan Rickman,Col. Christopher Brandon,2
431,17,4584,Imogen Stubbs,Lucy Steele,1
432,17,4584,Greg Wise,John Willoughby,2
433,17,4584,Hugh Laurie,Mr. Palmer,2
434,17,4584,Imelda Staunton,Charlotte Jennings Palmer,1
435,17,4584,Robert Hardy,Sir John Middleton,2
436,17,4584,Oliver Ford Davies,Doctor Harris,2
437,17,4584,James Fleet,John Dashwood,2
438,17,4584,Harriet Walter,Fanny Ferrars Dashwood,1
439,17,4584,Gemma Jones,Mrs. Dashwood,1
440,17,4584,Emilie François,Margaret Dashwood,0
441,17,4584,Elizabeth Spriggs,Mrs. Jennings,1
442,17,4584,Richard Lumsden,Robert Ferrars,2
443,18,5,Tim Roth,Ted the Bellhop,2
444,18,5,Antonio Banderas,Man,2
445,18,5,Jennifer Beals,Angela,1
446,18,5,Madonna,Elspeth,1
447,18,5,Marisa Tomei,Margaret,1
448,18,5,Bruce Willis,Leo,2
449,18,5,Quentin Tarantino,Chester Rush,2
450,18,5,Sammi Davis,Jezebel,1
451,18,5,Amanda de Cadenet,Diana,1
452,18,5,Valeria Golino,Athena,1
453,18,5,Lili Taylor,Raven,1
454,18,5,Lawrence Bender,Long Hair Yuppy Scum,2
455,18,5,Ione Skye,Eva,1
456,18,5,Alicia Witt,Kiva,1
457,18,5,David Proval,Siegfried,2
458,18,5,Lana McKissack,Sarah,1
459,18,5,Tamlyn Tomita,Wife,1
460,18,5,Kathy Griffin,Betty,1
461,18,5,Paul Calderon,Norman,2
462,18,5,Salma Hayek,TV Dancing Girl,1
463,18,5,Patricia Vonne,Corpse,1
464,18,5,Danny Verduzco,Juancho,0
465,18,5,Kimberly Blair,Hooker,0
466,18,5,Marc Lawrence,Sam the Bellhop,2
467,19,9273,Jim Carrey,Ace Ventura,2
468,19,9273,Ian McNeice,Fulton Greenwall,2
469,19,9273,Simon Callow,Vincent Cadby,2
470,19,9273,Maynard Eziashi,Ouda,2
471,19,9273,Bob Gunton,Burton Quinn,2
472,19,9273,Sophie Okonedo,The Wachati Princess,1
473,19,9273,Tommy Davidson,The Tiny Warrior,2
474,19,9273,Adewale Akinnuoye-Agbaje,Hitu,2
475,19,9273,Danny Daniels,Wachootoo Witch Doctor (as Danny D. Daniels),2
476,19,9273,Sam Motoana Phillips,Wachootoo Chief,0
477,19,9273,Damon Standifer,Wachati Chief,2
478,19,9273,Andrew Steel,Mick Katie,2
479,19,9273,Bruce Spence,Gahjii,2
480,19,9273,Tom Grunke,Derrick McCane,0
481,19,9273,Arsenio 'Sonny' Trinidad,Ashram Monk,2
482,20,11517,Wesley Snipes,John,2
483,20,11517,Woody Harrelson,Charlie,2
484,20,11517,Jennifer Lopez,Grace Santiago,1
485,20,11517,Robert Blake,Donald Patterson,2
486,20,11517,Chris Cooper,Torch,2
487,20,11517,Joe Grifasi,Riley,2
488,20,11517,Scott Sowers,Mr. Brown,2
489,20,11517,Skipp Sudduth,Kowalski,2
490,20,11517,Aida Turturro,Woman on Platform,0
491,20,11517,Vincent Pastore,Gambler,2
492,20,11517,Enrico Colantoni,Dooley,2
493,20,11517,Bill Nunn,Crash Train Motorman,2
494,20,11517,Katie Gill,Crosswalk Child,1
495,20,11517,Jeremy Roberts,Guard,2
496,20,11517,Joe Bacino,Decoy Cop,2
497,21,8012,John Travolta,Chili Palmer,2
498,21,8012,Gene Hackman,Harry Zimm,2
499,21,8012,Rene Russo,Karen Flores,1
500,21,8012,Danny DeVito,Martin Weir,2
501,21,8012,Dennis Farina,Ray 'Bones' Barboni,2
502,21,8012,Delroy Lindo,Bo Catlett,2
503,21,8012,James Gandolfini,Bear,2
504,21,8012,Jon Gries,Ronnie Wingate,2
505,21,8012,Renee Props,Nicki,1
506,21,8012,David Paymer,Leo Devoe,2
507,21,8012,Martin Ferrero,Tommy Carlo,2
508,21,8012,Miguel Sandoval,Mr. Escobar,2
509,21,8012,Jacob Vargas,Yayo Portillo,2
510,21,8012,Bobby Slayton,Dick Allen,2
511,21,8012,Linda Hart,Fay Devoe,1
512,21,8012,Jeffrey J. Stephen,Bones' Buddy,0
513,22,1710,Sigourney Weaver,Helen Hudson,1
514,22,1710,Holly Hunter,M.J. Monahan,1
515,22,1710,Will Patton,Nico Letti,2
516,22,1710,William McNamara,Peter Foley,2
517,22,1710,Harry Connick Jr.,Doryll Lee Cullum,2
518,22,1710,J.E. Freeman,Lt. Quinn,2
519,22,1710,Dermot Mulroney,Ruben Goetz,2
520,22,1710,John Rothman,Andy,2
521,22,1710,Shannon O'Hurley,Susan Schiffer,1
522,22,1710,Bob Greene,Pachulski,2
523,22,1710,Tony Haney,Kerby,0
524,22,1710,Danny Kovacs,Kostas,0
525,22,1710,Tahmus Rounds,Landis,0
526,22,1710,Scott Devenney,Cop #1,0
527,22,1710,David Michael Silverman,Mike,0
528,22,1710,Diane Amos,Gigi,1
529,23,9691,Sylvester Stallone,Robert Rath,2
530,23,9691,Antonio Banderas,Miguel Bain,2
531,23,9691,Julianne Moore,Electra,1
532,23,9691,Anatoli Davydov,Nicolai Tashlinkov,0
533,23,9691,Muse Watson,Ketcham,2
534,23,9691,Steve Kahan,Alan Branch,2
535,23,9691,Kelly Rowan,"Jennifer, Electra's Neighbor",1
536,23,9691,Reed Diamond,Bob,2
537,23,9691,Kai Wulff,Remy,2
538,23,9691,Kerry Skalsky,Buyer with Remy,0
539,23,9691,James Douglas Haskins,Buyer with Remy,0
540,23,9691,Stephen Liska,Cop,2
541,23,9691,John Harms,Cop,0
542,23,9691,Edward J. Rosen,Cemetery Caretaker,0
543,23,9691,Christina Orchid,Dowager,0
544,23,9691,Choco Orta,Cementary woman,0
