movieId,name,role,gender,,
132,Hazelle Goodman,Hooker's Mother,0,,
133,Ray Buktenica,Timmons,2,,
134,Max Daniels,Shooter at Drive-in,2,,
135,Vince Deadrick Jr.,Driver at Drive-in,2,,
136,Steven Ford,Officer Bruce,2,,
137,Farrah Forke,Claudia,1,,
138,Patricia Healy,Bosko's Date,1,,
139,Paul Herman,Sergeant Heinz,2,,
140,Cindy Katz,Rachel,1,,
141,Brian Libby,Captain Jackson,0,,
142,Dan Martin,Harry Dieter,2,,
143,Mario Roberts,Bank Guard,0,,
144,"Thomas Rosales, Jr.",Armoured Truck Driver,2,,
145,Yvonne Zima,Hostage Girl,1,,
146,Mick Gould,1st SIS Detective in the hallway (uncredited),0,,
147,Bud Cort,"Solenko, Restaurant Manager (uncredited)",2,,
148,Viviane Vives,Castilian Woman (uncredited),0,,
149,Kim Staunton,Lillian,1,,
150,Martin Ferrero,Construction Clerk,2,,
151,Brad Baldridge,Children's Hospital Doctor,0,,
152,Andrew Camuccio,Dominick,0,,
153,Kenny Endoso,Bartender,0,,
154,Kimberly Flynn,Casals' Date,1,,
155,Niki Harris,Marcia Drucker,1,,
156,Bill McIntosh,Armoured Guard,0,,
157,Rick Marzan,Basketball Player,0,,
158,Terry Miller,Children's Hospital Nurse,0,,
159,Daniel O'Haco,Detective,0,,
160,Kai Soremekun,Prostitute,1,,
161,Peter Blackwell,Bar Couple (uncredited),0,,
162,Trevor Coppola,Restaurant Patron (uncredited),0,,
163,Mary Kircher,Police Woman (uncredited),1,,
164,Darin Mangan,Grocery Store Employee (uncredited),0,,
165,Robert Miranda,Cusamano (uncredited),2,,
166,Manny Perry,Grocery Store Cop (uncredited),2,,
167,Iva Franks Singer,Waitress (uncredited),1,,
168,Tim Werner,Bank Guard (uncredited),0,,
169,Philip Ettington,Ellis (uncredited),2,,
170,Harrison Ford,Linus Larrabee,2,,
171,Julia Ormond,Sabrina Fairchild,1,,
172,Greg Kinnear,David Larrabee,2,,
173,Angie Dickinson,Mrs. Ingrid Tyson,1,,
174,Nancy Marchand,Maude Larrabee,1,,
175,John Wood,Fairchild,2,,
176,Richard Crenna,Patrick Tyson,2,,
177,Lauren Holly,Elizabeth Tyson,1,,
178,Dana Ivey,Mack,1,,
179,Fanny Ardant,Irene,1,,
180,Patrick Bruel,Louis,0,,
181,Paul Giamatti,Scott,2,,
182,Miriam Colón,Rosa,1,,
183,Elizabeth Franz,Joanna,1,,
184,Valérie Lemercier,Martine,1,,
185,Becky Ann Baker,Linda,1,,
186,John C. Vennema,Ron,2,,
187,Margo Martindale,Nurse,1,,
188,J. Smith-Cameron,Carol,1,,
189,Christine Luneau-Lipton,Ticket Taker,1,,
190,Michael Dees,Singer at Larrabee Party,2,,
191,Denis Holmes,Butler,0,,
192,Jo-Jo Lowe,Red Head,1,,
193,Ira Wheeler,Bartender,0,,
194,Philippa Cooper,Kelly,1,,
195,Ayako Kawahara,India,1,,
196,François Genty,Make-Up Assistant,0,,
197,Guillaume Gallienne,Assistant,2,,
198,Inés Sastre,Model,1,,
199,Phina Oruche,Model,1,,
200,Andrea Behalikova,Model,1,,
201,Jennifer Herrera,Model,1,,
202,Kristina Kumlin,Model,1,,
203,Eva Linderholm,Model,1,,
204,Carmen Chaplin,Paris Friend,1,,
205,Micheline Van de Velde,Paris Friend,1,,
206,Joanna Rhodes,Paris Friend,1,,
207,Alan Boone,Paris Friend,2,,
208,Patrick Forster-Delmas,Paris Friend,0,,
209,Kentaro Matsuo,Paris Friend,2,,
210,Peter McKernan,Helicopter Pilot,0,,
211,Ed Connelly,Gulf Stream Pilot,2,,
212,Ronald L. Schwary,Sheik,2,,
213,Alvin Lum,Tyson Butler,2,,
214,Siching Song,Mother in Hospital,1,,
215,Phil Nee,Father in Hospital,0,,
216,Randy Becker,Trainer,2,,
217,Susan Browning,Secretary,1,,
218,Anthony Mondal,Moroccan Waiter,2,,
219,Peter Parks,Senator,2,,
220,Woodrow Asai,Japanese Businessman (uncredited),0,,
221,Eric Bruno Borgman,Airport Employee (uncredited),0,,
222,Michael Cline,Head Butler (uncredited),0,,
223,Christopher Del Gaudio,Businessman in Window (uncredited),2,,
224,Philippe Hartmann,Wedding Guest (uncredited),2,,
225,Jerry Quinn,Pizza Patron (uncredited),2,,
226,Dori Rosenthal,Ballroom Dancer (uncredited),1,,
227,Jonathan Taylor Thomas,Tom Sawyer,2,,
228,Brad Renfro,Huck Finn,2,,
229,Rachael Leigh Cook,Becky Thatcher,1,,
230,Michael McShane,Muff Potter,2,,
231,Amy Wright,Aunt Polly,1,,
232,Eric Schweig,Injun Joe,2,,
233,Tamara Mello,Townsperson,1,,
234,Jean-Claude Van Damme,Darren Francis Thomas McCord,2,,
235,Powers Boothe,Joshua Foss,2,,
236,Dorian Harewood,Matthew Hallmark,2,,
237,Raymond J. Barry,Vizepräsident Daniel Bender,2,,
238,Ross Malinger,Tyler,2,,
239,Whittni Wright,Emily McCord,1,,
240,Pierce Brosnan,James Bond,2,,
241,Sean Bean,Alec Trevelyan,2,,
242,Izabella Scorupco,Natalya Fyodorovna Simonova,1,,
243,Famke Janssen,Xenia Onatopp,1,,
244,Joe Don Baker,Jack Wade,2,,
245,Judi Dench,M,1,,
246,Gottfried John,General Arkady Grigorovich Ourumov,2,,
247,Robbie Coltrane,Valentin Dmitrovich Zukovsky,2,,
248,Alan Cumming,Boris Grishenko,2,,
249,Tchéky Karyo,Defense Minister Dmitri Mishkin,2,,
250,Desmond Llewelyn,Q,2,,
251,Samantha Bond,Miss Moneypenny,1,,
252,Michael Kitchen,Bill Tanner,2,,
253,Serena Gordon,Caroline,1,,
254,Simon Kunz,Severnaya Duty Officer,2,,
255,Billy J. Mitchell,Admiral Chuck Farrell,2,,
256,Constantine Gregory,Computer Store Manager,2,,
257,Minnie Driver,Irina,1,,
258,Michelle Arthur,Anna,1,,
259,Ravil Isyanov,Mig Pilot,2,,
260,Trevor Byfield,Train Driver,2,,
261,Michael Douglas,Andrew Shepherd,2,,
262,Annette Bening,Sydney Ellen Wade,1,,
263,Michael J. Fox,Lewis Rothschild,2,,
264,Martin Sheen,A.J. MacInerney,2,,
265,Anna Deavere Smith,Robin McCall,1,,
266,Shawna Waldron,Lucy Shepherd,1,,
267,Samantha Mathis,Janie Basdin,1,,
268,David Paymer,Leon Kodak,2,,
269,Richard Dreyfuss,Senator Bob Rumson,2,,
270,Nina Siemaszko,Beth Wade,1,,
271,Wendie Malick,Susan Sloan,1,,
272,Beau Billingslea,Agent Cooper,2,,
273,Gail Strickland,Esther MacInerney,1,,
274,Joshua Malina,David,2,,
275,Clement von Franckenstein,President René Jean D'Astier,2,,
276,John Mahoney,Leo Solomon,2,,
277,John Mahon,Chairman of the Joint Chiefs,2,,
278,Gabriel Jarret,Jeff,0,,
279,Leslie Nielsen,Count Dracula,2,,
280,Mel Brooks,Prof. Abraham Van Helsing,2,,
281,Amy Yasbeck,Mina Seward,1,,
282,Peter MacNicol,Thomas Renfield,2,,
283,Lysette Anthony,Lucy Westenra,1,,
284,Harvey Korman,Dr. Jack Seward,2,,
285,Steven Weber,Jonathan Harker,2,,
286,Mark Blankfield,Martin,2,,
287,Megan Cavanagh,Essie,1,,
288,Gregg Binkley,Woodbridge,2,,
289,Anne Bancroft,Madame Ouspenskaya,1,,
290,Clive Revill,Sykes,2,,
291,Chuck McCann,Innkeeper,2,,
292,Avery Schreiber,Peasant on Coach,2,,
293,Cherie Franklin,Peasant on Coach,0,,
294,Ezio Greggio,Coach Driver,2,,
295,Leslie Sachs,Usherette,1,,
296,Rudy De Luca,Guard,0,,
297,Darla Haun,Brunette Vampire,1,,
298,Karen Roe,Blonde Vampire,0,,
299,Charlie Callas,Man in Straitjacket,2,,
300,Maud Winchester,Ballroom Guest,1,,
301,Kathleen Kane,Villager,0,,
302,Kevin Bacon,Balto (voice),2,,
303,Bob Hoskins,Boris the Goose (voice),2,,
304,Bridget Fonda,Jenna (voice),1,,
305,Jim Cummings,Steele the Sled Dog (voice),2,,
306,Phil Collins,Muk and Luk (voice),2,,
307,Juliette Brewer,Young Rosy (voice),0,,
308,Jack Angel,Nikki (voice),2,,
309,Danny Mann,Kaltag (voice),2,,
310,Robbie Rist,Star (voice),2,,
311,Sandra Dickinson,Dixie / Sylvie (voice),1,,
312,Frank Welker,Grizzly Bear (voice),2,,
313,Miriam Margolyes,Grandma Rosy,1,,
314,Lola Bates-Campbell,Rosie's granddaughter,0,,
315,Anthony Hopkins,Richard Nixon,2,,
316,Joan Allen,Pat Nixon,1,,
317,Powers Boothe,Alexander Haig,2,,
318,Ed Harris,E. Howard Hunt,2,,
319,Bob Hoskins,J. Edgar Hoover,2,,
320,E.G. Marshall,John Mitchell,2,,
321,David Paymer,Ron Ziegler,2,,
322,David Hyde Pierce,John Dean,2,,
323,Paul Sorvino,Henry Kissinger,2,,
324,Mary Steenburgen,Hannah Nixon,1,,
