id,movieName,castName,award,,,
1339,British Ministry of Information,Listen to Britain ,Documentary,,,
1340,Belgian Ministry of Information,Little Belgium ,Documentary,,,
1341,"Victor Stoloff and Edgar Loew, Producers",Little Isles of Freedom ,Documentary,,,
1342,United States Office of War Information,Mr. Blabbermouth! ,Documentary,,,
1343,United States Office of War Information,Mr. Gardenia Jones ,Documentary,,,
1344,Artkino,Moscow Strikes Back ,Documentary,,,
1345,"Walt Disney, Producer",The New Spirit ,Documentary,,,
1346,United States Army Special Services,Prelude to War ,Documentary,,,
1347,"William H. Pine, Producer",The Price of Victory ,Documentary,,,
1348,United States Merchant Marine,A Ship Is Born ,Documentary,,,
1349,British Ministry of Information,Twenty-One Miles ,Documentary,,,
1350,"William C. Thomas, Producer",We Refuse to Die ,Documentary,,,
1351,Concanen Films,White Eagle ,Documentary,,,
1352,United States Army Air Force,Winning Your Wings ,Documentary,,,
1353,Harold F. Kress,Mrs. Miniver ,Film Editing,,,
1354,Daniel Mandell,The Pride of the Yankees ,Film Editing,,,
1355,Otto Meyer,The Talk of the Town ,Film Editing,,,
1356,Walter Thompson,This above All ,Film Editing,,,
1357,George Amy,Yankee Doodle Dandy ,Film Editing,,,
1358,Frank Skinner,Arabian Nights ,Music (Music Score of a Dramatic or Comedy Picture),,,
1359,"Frank Churchill, Edward Plumb",Bambi ,Music (Music Score of a Dramatic or Comedy Picture),,,
1360,Alfred Newman,The Black Swan ,Music (Music Score of a Dramatic or Comedy Picture),,,
1361,Dimitri Tiomkin,The Corsican Brothers ,Music (Music Score of a Dramatic or Comedy Picture),,,
1362,Victor Young,Flying Tigers ,Music (Music Score of a Dramatic or Comedy Picture),,,
1363,Max Terr,The Gold Rush ,Music (Music Score of a Dramatic or Comedy Picture),,,
1364,Roy Webb,I Married a Witch ,Music (Music Score of a Dramatic or Comedy Picture),,,
1365,Roy Webb,Joan of Paris ,Music (Music Score of a Dramatic or Comedy Picture),,,
1366,Miklos Rozsa,Jungle Book ,Music (Music Score of a Dramatic or Comedy Picture),,,
1367,Edward Kay,Klondike Fury ,Music (Music Score of a Dramatic or Comedy Picture),,,
1368,Max Steiner,"Now, Voyager ",Music (Music Score of a Dramatic or Comedy Picture),,,
1369,Leigh Harline,The Pride of the Yankees ,Music (Music Score of a Dramatic or Comedy Picture),,,
1370,Herbert Stothart,Random Harvest ,Music (Music Score of a Dramatic or Comedy Picture),,,
1371,Richard Hageman,The Shanghai Gesture ,Music (Music Score of a Dramatic or Comedy Picture),,,
1372,Victor Young,Silver Queen ,Music (Music Score of a Dramatic or Comedy Picture),,,
1373,Victor Young,"Take a Letter, Darling ",Music (Music Score of a Dramatic or Comedy Picture),,,
1374,"Frederick Hollander, Morris Stoloff",The Talk of the Town ,Music (Music Score of a Dramatic or Comedy Picture),,,
1375,Werner Heymann,To Be or Not to Be ,Music (Music Score of a Dramatic or Comedy Picture),,,
1376,Edward Ward,Flying with Music ,Music (Scoring of a Musical Picture),,,
1377,"Roger Edens, Georgie Stoll",For Me and My Gal ,Music (Scoring of a Musical Picture),,,
1378,Robert Emmett Dolan,Holiday Inn ,Music (Scoring of a Musical Picture),,,
1379,"Hans Salter, Charles Previn",It Started with Eve ,Music (Scoring of a Musical Picture),,,
1380,Walter Scharf,Johnny Doughboy ,Music (Scoring of a Musical Picture),,,
1381,Alfred Newman,My Gal Sal ,Music (Scoring of a Musical Picture),,,
1382,"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy ,Music (Scoring of a Musical Picture),,,
1383,Leigh Harline,You Were Never Lovelier ,Music (Scoring of a Musical Picture),,,
1384,Music by Ernesto Lecuona,"""Always In My Heart"" from Always in My Heart",Music (Song),,,
1385,Music by Jerome Kern,"""Dearly Beloved"" from You Were Never Lovelier",Music (Song),,,
1386,Music by Burton Lane,"""How About You?"" from Babes on Broadway",Music (Song),,,
1387,Music by Jule Styne,"""It Seems I Heard That Song Before"" from Youth on Parade",Music (Song),,,
1388,Music by Harry Warren,"""I've Got A Gal In Kalamazoo"" from Orchestra Wives",Music (Song),,,
1389,Music by Frank Churchill,"""Love Is A Song"" from Bambi",Music (Song),,,
1390,Music by Edward Ward,"""Pennies For Peppino"" from Flying with Music",Music (Song),,,
1391,Music by Gene de Paul,"""Pig Foot Pete"" from Hellzapoppin'",Music (Song),,,
1392,Music by Harry Revel,"""There's A Breeze On Lake Louise"" from The Mayor of 44th Street",Music (Song),,,
1393,Music and Lyrics by Irving Berlin,"""White Christmas"" from Holiday Inn",Music (Song),,,
1394,Ortus,The Invaders ,Outstanding Motion Picture,,,
1395,Warner Brothers,Kings Row ,Outstanding Motion Picture,,,
1396,Mercury,The Magnificent Ambersons ,Outstanding Motion Picture,,,
1397,Metro-Goldwyn-Mayer,Mrs. Miniver ,Outstanding Motion Picture,,,
1398,20th Century-Fox,The Pied Piper ,Outstanding Motion Picture,,,
1399,Samuel Goldwyn Productions,The Pride of the Yankees ,Outstanding Motion Picture,,,
1400,Metro-Goldwyn-Mayer,Random Harvest ,Outstanding Motion Picture,,,
1401,Columbia,The Talk of the Town ,Outstanding Motion Picture,,,
1402,Paramount,Wake Island ,Outstanding Motion Picture,,,
1403,Warner Brothers,Yankee Doodle Dandy ,Outstanding Motion Picture,,,
1404,20th Century-Fox,All Out for 'V' ,Short Subject (Cartoon),,,
1405,Metro-Goldwyn-Mayer,Blitz Wolf ,Short Subject (Cartoon),,,
1406,"Walt Disney, Producer",Der Fuehrer's Face ,Short Subject (Cartoon),,,
1407,"Walter Lantz, Producer",Juke Box Jamboree ,Short Subject (Cartoon),,,
1408,"Leon Schlesinger, Producer",Pigs in a Polka ,Short Subject (Cartoon),,,
1409,"George Pal, Producer",Tulips Shall Grow ,Short Subject (Cartoon),,,
1410,20th Century-Fox,Desert Wonderland ,Short Subject (One Reel),,,
1411,"Pete Smith, Producer",Marines in the Making ,Short Subject (One Reel),,,
1412,Paramount,Speaking of Animals and Their Families ,Short Subject (One Reel),,,
1413,Warner Brothers,United States Marine Band ,Short Subject (One Reel),,,
1414,Warner Brothers,Beyond the Line of Duty ,Short Subject (Two Reel),,,
1415,Metro-Goldwyn-Mayer,Don't Talk ,Short Subject (Two Reel),,,
1416,RKO Radio,Private Smith of the U.S.A. ,Short Subject (Two Reel),,,
1417,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",Arabian Nights ,Sound Recording,,,
1418,"Walt Disney Studio Sound Department, Sam Slyfield, Sound Director",Bambi ,Sound Recording,,,
1419,"Republic Studio Sound Department, Daniel Bloomberg, Sound Director",Flying Tigers ,Sound Recording,,,
1420,"Sound Service, Inc., Jack Whitney, Sound Director",Friendly Enemies ,Sound Recording,,,
1421,"RCA Sound, James Fields, Sound Director",The Gold Rush ,Sound Recording,,,
1422,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Mrs. Miniver ,Sound Recording,,,
1423,"RKO Radio Studio Sound Department, Steve Dunn, Sound Director",Once upon a Honeymoon ,Sound Recording,,,
1424,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",The Pride of the Yankees ,Sound Recording,,,
1425,"Paramount Studio Sound Department, Loren Ryder, Sound Director",Road to Morocco ,Sound Recording,,,
1426,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",This above All ,Sound Recording,,,
1427,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy ,Sound Recording,,,
1428,"Columbia Studio Sound Department, John Livadary, Sound Director",You Were Never Lovelier ,Sound Recording,,,
1429,"Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett",The Black Swan ,Special Effects,,,
1430,Photographic Effects by Byron Haskin,Desperate Journey ,Special Effects,,,
1431,Photographic Effects by Howard Lydecker,Flying Tigers ,Special Effects,,,
1432,Photographic Effects by John Fulton,Invisible Agent ,Special Effects,,,
1433,Photographic Effects by Lawrence Butler,Jungle Book ,Special Effects,,,
1434,"Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer",Mrs. Miniver ,Special Effects,,,
1435,Photographic Effects by Vernon L. Walker,The Navy Comes Through ,Special Effects,,,
1436,Photographic Effects by Ronald Neame,One of Our Aircraft Is Missing ,Special Effects,,,
1437,"Photographic Effects by Jack Cosgrove, Ray Binger; Sound Effects by Thomas T. Moulton",The Pride of the Yankees ,Special Effects,,,
1438,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind ,Special Effects,,,
1439,Irving Berlin,Holiday Inn ,Writing (Original Motion Picture Story),,,
1440,Emeric Pressburger,The Invaders ,Writing (Original Motion Picture Story),,,
1441,Paul Gallico,The Pride of the Yankees ,Writing (Original Motion Picture Story),,,
1442,Sidney Harmon,The Talk of the Town ,Writing (Original Motion Picture Story),,,
1443,Robert Buckner,Yankee Doodle Dandy ,Writing (Original Motion Picture Story),,,
1444,"Michael Powell, Emeric Pressburger",One of Our Aircraft Is Missing ,Writing (Original Screenplay),,,
1445,"Frank Butler, Don Hartman",Road to Morocco ,Writing (Original Screenplay),,,
1446,"W. R. Burnett, Frank Butler",Wake Island ,Writing (Original Screenplay),,,
1447,George Oppenheimer,The War against Mrs. Hadley ,Writing (Original Screenplay),,,
1448,"Ring Lardner, Jr., Michael Kanin",Woman of the Year ,Writing (Original Screenplay),,,
1449,"Rodney Ackland, Emeric Pressburger",The Invaders ,Writing (Screenplay),,,
1450,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver ,Writing (Screenplay),,,
1451,"Jo Swerling, Herman J. Mankiewicz",The Pride of the Yankees ,Writing (Screenplay),,,
1452,"Claudine West, George Froeschel, Arthur Wimperis",Random Harvest ,Writing (Screenplay),,,
1453,"Irwin Shaw, Sidney Buchman",The Talk of the Town ,Writing (Screenplay),,,
1454,,Charles Boyer,Special Award,,,
1455,In Which We Serve,Noel Coward,Special Award,,,
1456,Andy Hardy,Metro-Goldwyn-Mayer,Special Award,,,
1457,,Sidney Franklin,Irving G. Thalberg Memorial Award,,,
1458,Casablanca,Humphrey Bogart,Actor,,,
1459,For Whom the Bell Tolls,Gary Cooper,Actor,,,
1460,Watch on the Rhine,Paul Lukas,Actor,,,
1461,Madame Curie,Walter Pidgeon,Actor,,,
1462,The Human Comedy,Mickey Rooney,Actor,,,
1463,The Song of Bernadette,Charles Bickford,Actor in a Supporting Role,,,
1464,The More the Merrier,Charles Coburn,Actor in a Supporting Role,,,
1465,Sahara,J. Carrol Naish,Actor in a Supporting Role,,,
1466,Casablanca,Claude Rains,Actor in a Supporting Role,,,
1467,For Whom the Bell Tolls,Akim Tamiroff,Actor in a Supporting Role,,,
1468,The More the Merrier,Jean Arthur,Actress,,,
1469,For Whom the Bell Tolls,Ingrid Bergman,Actress,,,
1470,The Constant Nymph,Joan Fontaine,Actress,,,
1471,Madame Curie,Greer Garson,Actress,,,
1472,The Song of Bernadette,Jennifer Jones,Actress,,,
1473,The Song of Bernadette,Gladys Cooper,Actress in a Supporting Role,,,
1474,So Proudly We Hail!,Paulette Goddard,Actress in a Supporting Role,,,
1475,For Whom the Bell Tolls,Katina Paxinou,Actress in a Supporting Role,,,
1476,The Song of Bernadette,Anne Revere,Actress in a Supporting Role,,,
1477,Watch on the Rhine,Lucile Watson,Actress in a Supporting Role,,,
1478,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Bertram Granger",Five Graves to Cairo ,Art Direction (Black and White),,,
1479,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Harley Miller",Flight for Freedom ,Art Direction (Black and White),,,
1480,"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis, Hugh Hunt",Madame Curie ,Art Direction (Black and White),,,
1481,Art Direction: Carl Weyl,Mission to Moscow ,Art Direction (Black and White),,,
1482,Art Direction: Perry Ferguson,The North Star ,Art Direction (Black and White),,,
1483,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",The Song of Bernadette ,Art Direction (Black and White),,,
1484,"Art Direction: Hans Dreier, Haldane Douglas; Interior Decoration: Bertram Granger",For Whom the Bell Tolls ,Art Direction (Color),,,
1485,"Art Direction: James Basevi, Joseph C. Wright; Interior Decoration: Thomas Little",The Gang's All Here ,Art Direction (Color),,,
1486,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb",Phantom of the Opera ,Art Direction (Color),,,
1487,"Art Direction: John Hughes, Lt. John Koenig; Interior Decoration: George J. Hopkins",This Is the Army ,Art Direction (Color),,,
1488,"Art Direction: Cedric Gibbons, Daniel Cathcart; Interior Decoration: Edwin B. Willis, Jacques Mersereau",Thousands Cheer ,Art Direction (Color),,,
1489,"James Wong Howe, Elmer Dyer, Charles Marshall",Air Force ,Cinematography (Black and White),,,
1490,Arthur Edeson,Casablanca ,Cinematography (Black and White),,,
1491,Tony Gaudio,Corvette K-225 ,Cinematography (Black and White),,,
1492,John Seitz,Five Graves to Cairo ,Cinematography (Black and White),,,
1493,Harry Stradling,The Human Comedy ,Cinematography (Black and White),,,
1494,Joseph Ruttenberg,Madame Curie ,Cinematography (Black and White),,,
1495,James Wong Howe,The North Star ,Cinematography (Black and White),,,
1496,Rudolph Maté,Sahara ,Cinematography (Black and White),,,
1497,Charles Lang,So Proudly We Hail! ,Cinematography (Black and White),,,
1498,Arthur Miller,The Song of Bernadette ,Cinematography (Black and White),,,
1499,Ray Rennahan,For Whom the Bell Tolls ,Cinematography (Color),,,
1500,Edward Cronjager,Heaven Can Wait ,Cinematography (Color),,,
1501,"Charles G. Clarke, Allen Davey","Hello, Frisco, Hello ",Cinematography (Color),,,
1502,Leonard Smith,Lassie Come Home ,Cinematography (Color),,,
1503,"Hal Mohr, W. Howard Greene",Phantom of the Opera ,Cinematography (Color),,,
1504,George Folsey,Thousands Cheer ,Cinematography (Color),,,
1505,Michael Curtiz,Casablanca ,Directing,,,
1506,Ernst Lubitsch,Heaven Can Wait ,Directing,,,
1507,Clarence Brown,The Human Comedy ,Directing,,,
1508,George Stevens,The More the Merrier ,Directing,,,
1509,Henry King,The Song of Bernadette ,Directing,,,
1510,United States Army,Baptism of Fire ,Documentary (Feature),,,
1511,United States Department of War Special Service Division,The Battle of Russia ,Documentary (Feature),,,
1512,British Ministry of Information,Desert Victory ,Documentary (Feature),,,
1513,United States Army Pictorial Service,For God and Country ,Documentary (Feature),,,
1514,United States Army Pictorial Service,Report from the Aleutians ,Documentary (Feature),,,
1515,British Ministry of Information,Silent Village ,Documentary (Feature),,,
1516,United States Office of Strategic Services Field Photographic Bureau,War Department Report ,Documentary (Feature),,,
1517,"Negro Marches On, Inc.","We've Come a Long, Long Way ",Documentary (Feature),,,
1518,Australian Department of Information Film Unit,Bismarck Convoy Smashed ,Documentary (Short Subject),,,
1519,RKO Radio,Children of Mars ,Documentary (Short Subject),,,
1520,United States Office of War Information Domestic Motion Picture Bureau,Day of Battle ,Documentary (Short Subject),,,
1521,United States Navy,December 7th ,Documentary (Short Subject),,,
1522,National Film Board of Canada,The Dutch Tradition ,Documentary (Short Subject),,,
1523,British Ministry of Information,Kill or Be Killed ,Documentary (Short Subject),,,
1524,National Film Board of Canada,The Labor Front ,Documentary (Short Subject),,,
1525,Polish Information Centre,Land of My Mother ,Documentary (Short Subject),,,
1526,United States Army 4th Signal Photographic Unit,Letter from Livingston ,Documentary (Short Subject),,,
1527,United States Army Pictorial Service,Life Line ,Documentary (Short Subject),,,
1528,Metro-Goldwyn-Mayer,Plan for Destruction ,Documentary (Short Subject),,,
1529,United States Department of War,The Rear Gunner ,Documentary (Short Subject),,,
1530,Union of South Africa,Servant of a Nation ,Documentary (Short Subject),,,
1531,United States Office of War Information Overseas Motion Picture Bureau,Swedes in America ,Documentary (Short Subject),,,
1532,United States Coast Guard,Task Force ,Documentary (Short Subject),,,
1533,"Walter Wanger, Producer",To the People of the United States ,Documentary (Short Subject),,,
1534,United States Navy Bureau of Aeronautics,Tomorrow We Fly ,Documentary (Short Subject),,,
1535,Warner Brothers,The Voice That Thrilled the World ,Documentary (Short Subject),,,
1536,"Walt Disney, Producer",Water--Friend or Enemy ,Documentary (Short Subject),,,
1537,United States Army Air Force 1st Motion Picture Unit,Wings Up ,Documentary (Short Subject),,,
1538,The March of Time,Youth in Crisis ,Documentary (Short Subject),,,
1539,George Amy,Air Force ,Film Editing,,,
1540,Owen Marks,Casablanca ,Film Editing,,,
1541,Doane Harrison,Five Graves to Cairo ,Film Editing,,,
1542,"Sherman Todd, John Link",For Whom the Bell Tolls ,Film Editing,,,
1543,Barbara McLean,The Song of Bernadette ,Film Editing,,,
1544,"Frank Skinner, Hans J. Salter",The Amazing Mrs. Holliday ,Music (Music Score of a Dramatic or Comedy Picture),,,
1545,Max Steiner,Casablanca ,Music (Music Score of a Dramatic or Comedy Picture),,,
1546,"Morris Stoloff, Louis Gruenberg",Commandos Strike at Dawn ,Music (Music Score of a Dramatic or Comedy Picture),,,
1547,"Roy Webb, C. Bakaleinikoff",The Fallen Sparrow ,Music (Music Score of a Dramatic or Comedy Picture),,,
1548,Victor Young,For Whom the Bell Tolls ,Music (Music Score of a Dramatic or Comedy Picture),,,
1549,Hanns Eisler,Hangmen Also Die ,Music (Music Score of a Dramatic or Comedy Picture),,,
1550,Phil Boutelje,Hi Diddle Diddle ,Music (Music Score of a Dramatic or Comedy Picture),,,
1551,Walter Scharf,In Old Oklahoma ,Music (Music Score of a Dramatic or Comedy Picture),,,
1552,Leigh Harline,Johnny Come Lately ,Music (Music Score of a Dramatic or Comedy Picture),,,
1553,Gerard Carbonara,The Kansan ,Music (Music Score of a Dramatic or Comedy Picture),,,
1554,Arthur Lange,Lady of Burlesque ,Music (Music Score of a Dramatic or Comedy Picture),,,
1555,Herbert Stothart,Madame Curie ,Music (Music Score of a Dramatic or Comedy Picture),,,
1556,Dimitri Tiomkin,The Moon and Sixpence ,Music (Music Score of a Dramatic or Comedy Picture),,,
1557,Aaron Copland,The North Star ,Music (Music Score of a Dramatic or Comedy Picture),,,
1558,Alfred Newman,The Song of Bernadette ,Music (Music Score of a Dramatic or Comedy Picture),,,
1559,"Edward H. Plumb, Paul J. Smith, Oliver G. Wallace",Victory through Air Power ,Music (Music Score of a Dramatic or Comedy Picture),,,
1560,Alfred Newman,Coney Island ,Music (Scoring of a Musical Picture),,,
1561,Walter Scharf,Hit Parade of 1943 ,Music (Scoring of a Musical Picture),,,
1562,Edward Ward,Phantom of the Opera ,Music (Scoring of a Musical Picture),,,
1563,"Charles Wolcott, Edward H. Plumb, Paul J. Smith",Saludos Amigos ,Music (Scoring of a Musical Picture),,,
1564,Leigh Harline,The Sky's the Limit ,Music (Scoring of a Musical Picture),,,
1565,Morris Stoloff,Something to Shout About ,Music (Scoring of a Musical Picture),,,
1566,Frederic E. Rich,Stage Door Canteen ,Music (Scoring of a Musical Picture),,,
1567,Robert Emmett Dolan,Star Spangled Rhythm ,Music (Scoring of a Musical Picture),,,
1568,Ray Heindorf,This Is the Army ,Music (Scoring of a Musical Picture),,,
1569,Herbert Stothart,Thousands Cheer ,Music (Scoring of a Musical Picture),,,
1570,Music by Jule Styne,"""A Change Of Heart"" from Hit Parade of 1943",Music (Song),,,
1571,Music by Harold Arlen,"""Happiness Is A Thing Called Joe"" from Cabin in the Sky",Music (Song),,,
1572,Music by Harold Arlen,"""My Shining Hour"" from The Sky's the Limit",Music (Song),,,
1573,Music by Charles Wolcott,"""Saludos Amigos"" from Saludos Amigos",Music (Song),,,
1574,Music by Jimmy McHugh,"""Say A Pray'r For The Boys Over There"" from Hers to Hold",Music (Song),,,
1575,Music by Harold Arlen,"""That Old Black Magic"" from Star Spangled Rhythm",Music (Song),,,
1576,Music by Arthur Schwartz,"""They're Either Too Young Or Too Old"" from Thank Your Lucky Stars",Music (Song),,,
1577,Music by James Monaco,"""We Mustn't Say Goodbye"" from Stage Door Canteen",Music (Song),,,
1578,Music and Lyrics by Cole Porter,"""You'd Be So Nice To Come Home To"" from Something to Shout About",Music (Song),,,
1579,Music by Harry Warren,"""You'll Never Know"" from Hello, Frisco, Hello",Music (Song),,,
1580,Warner Brothers,Casablanca ,Outstanding Motion Picture,,,
1581,Paramount,For Whom the Bell Tolls ,Outstanding Motion Picture,,,
1582,20th Century-Fox,Heaven Can Wait ,Outstanding Motion Picture,,,
1583,Metro-Goldwyn-Mayer,The Human Comedy ,Outstanding Motion Picture,,,
1584,Two Cities,In Which We Serve ,Outstanding Motion Picture,,,
1585,Metro-Goldwyn-Mayer,Madame Curie ,Outstanding Motion Picture,,,
1586,Columbia,The More the Merrier ,Outstanding Motion Picture,,,
1587,20th Century-Fox,The Ox-Bow Incident ,Outstanding Motion Picture,,,
1588,20th Century-Fox,The Song of Bernadette ,Outstanding Motion Picture,,,
1589,Warner Brothers,Watch on the Rhine ,Outstanding Motion Picture,,,
1590,"Walter Lantz, Producer",The Dizzy Acrobat ,Short Subject (Cartoon),,,
1591,"George Pal, Producer",The 500 Hats of Bartholomew Cubbins ,Short Subject (Cartoon),,,
1592,"Leon Schlesinger, Producer",Greetings Bait! ,Short Subject (Cartoon),,,
1593,"Dave Fleischer, Producer",Imagination ,Short Subject (Cartoon),,,
1594,"Walt Disney, Producer",Reason and Emotion ,Short Subject (Cartoon),,,
1595,"Frederick Quimby, Producer",Yankee Doodle Mouse ,Short Subject (Cartoon),,,
1596,"Grantland Rice, Producer",Amphibious Fighters ,Short Subject (One Reel),,,
1597,"Gordon Hollingshead, Producer",Cavalcade of Dance with Veloz and Yolanda ,Short Subject (One Reel),,,
1598,"Edmund Reek, Producer",Champions Carry On ,Short Subject (One Reel),,,
1599,"Ralph Staub, Producer",Hollywood in Uniform ,Short Subject (One Reel),,,
1600,"Pete Smith, Producer",Seeing Hands ,Short Subject (One Reel),,,
1601,"Jerry Bresler and Sam Coslow, Producers",Heavenly Music ,Short Subject (Two Reel),,,
1602,"Frederic Ullman, Jr., Producer",Letter to a Hero ,Short Subject (Two Reel),,,
1603,"Walter MacEwen, Producer",Mardi Gras ,Short Subject (Two Reel),,,
1604,"Gordon Hollingshead, Producer",Women at War ,Short Subject (Two Reel),,,
1605,"Sound Service, Inc., Jack Whitney, Sound Director",Hangmen Also Die ,Sound Recording,,,
1606,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",In Old Oklahoma ,Sound Recording,,,
1607,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Madame Curie ,Sound Recording,,,
1608,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",The North Star ,Sound Recording,,,
1609,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",Phantom of the Opera ,Sound Recording,,,
1610,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",Riding High ,Sound Recording,,,
1611,"Columbia Studio Sound Department, John Livadary, Sound Director",Sahara ,Sound Recording,,,
1612,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director",Saludos Amigos ,Sound Recording,,,
1613,"RCA Sound, J. L. Fields, Sound Director",So This Is Washington ,Sound Recording,,,
1614,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",The Song of Bernadette ,Sound Recording,,,
1615,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",This Is the Army ,Sound Recording,,,
1616,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine ,Sound Recording,,,
1617,"Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson",Air Force ,Special Effects,,,
1618,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville",Bombardier ,Special Effects,,,
1619,Photographic Effects by Fred Sersen,Crash Dive ,Special Effects,,,
1620,"Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton",The North Star ,Special Effects,,,
1621,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton",So Proudly We Hail! ,Special Effects,,,
1622,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore",Stand By for Action ,Special Effects,,,
1623,Guy Gilpatric,Action in the North Atlantic ,Writing (Original Motion Picture Story),,,
1624,Steve Fisher,Destination Tokyo ,Writing (Original Motion Picture Story),,,
1625,William Saroyan,The Human Comedy ,Writing (Original Motion Picture Story),,,
1626,"Robert Russell, Frank Ross",The More the Merrier ,Writing (Original Motion Picture Story),,,
1627,Gordon McDonell,Shadow of a Doubt ,Writing (Original Motion Picture Story),,,
1628,Dudley Nichols,Air Force ,Writing (Original Screenplay),,,
1629,Noel Coward,In Which We Serve ,Writing (Original Screenplay),,,
1630,Lillian Hellman,The North Star ,Writing (Original Screenplay),,,
1631,Norman Krasna,Princess O'Rourke ,Writing (Original Screenplay),,,
1632,Allan Scott,So Proudly We Hail! ,Writing (Original Screenplay),,,
1633,"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca ,Writing (Screenplay),,,
1634,Nunnally Johnson,Holy Matrimony ,Writing (Screenplay),,,
1635,"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster",The More the Merrier ,Writing (Screenplay),,,
1636,George Seaton,The Song of Bernadette ,Writing (Screenplay),,,
1637,Dashiell Hammett,Watch on the Rhine ,Writing (Screenplay),,,
1638,,George Pal,Special Award,,,
1639,,Hal B. Wallis,Irving G. Thalberg Memorial Award,,,
1640,Gaslight,Charles Boyer,Actor,,,
1641,Going My Way,Bing Crosby,Actor,,,
1642,Going My Way,Barry Fitzgerald,Actor,,,
1643,None but the Lonely Heart,Cary Grant,Actor,,,
1644,Wilson,Alexander Knox,Actor,,,
1645,The Seventh Cross,Hume Cronyn,Actor in a Supporting Role,,,
1646,Going My Way,Barry Fitzgerald,Actor in a Supporting Role,,,
1647,Mr. Skeffington,Claude Rains,Actor in a Supporting Role,,,
1648,Laura,Clifton Webb,Actor in a Supporting Role,,,
1649,Since You Went Away,Monty Woolley,Actor in a Supporting Role,,,
1650,Gaslight,Ingrid Bergman,Actress,,,
1651,Since You Went Away,Claudette Colbert,Actress,,,
1652,Mr. Skeffington,Bette Davis,Actress,,,
1653,Mrs. Parkington,Greer Garson,Actress,,,
1654,Double Indemnity,Barbara Stanwyck,Actress,,,
1655,None but the Lonely Heart,Ethel Barrymore,Actress in a Supporting Role,,,
1656,Since You Went Away,Jennifer Jones,Actress in a Supporting Role,,,
1657,Gaslight,Angela Lansbury,Actress in a Supporting Role,,,
1658,Dragon Seed,Aline MacMahon,Actress in a Supporting Role,,,
1659,Mrs. Parkington,Agnes Moorehead,Actress in a Supporting Role,,,
1660,"Art Direction: Lionel Banks, Walter Holscher; Interior Decoration: Joseph Kish",Address Unknown ,Art Direction (Black and White),,,
1661,Art Direction: John J. Hughes,The Adventures of Mark Twain ,Art Direction (Black and White),,,
1662,Art Direction: Perry Ferguson,Casanova Brown ,Art Direction (Black and White),,,
1663,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky",Gaslight ,Art Direction (Black and White),,,
1664,"Art Direction: Lyle Wheeler, Leland Fuller; Interior Decoration: Thomas Little",Laura ,Art Direction (Black and White),,,
1665,"Art Direction: Hans Dreier, Robert Usher; Interior Decoration: Sam Comer",No Time for Love ,Art Direction (Black and White),,,
1666,Art Direction: Mark-Lee Kirk,Since You Went Away ,Art Direction (Black and White),,,
1667,,Song of the Open Road,Art Direction (Black and White),,,
1668,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Claude Carpenter",Step Lively ,Art Direction (Black and White),,,
